Book Id,name,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,price,layout,cover,excerpt,book-link,tweet,categories,tags
25710800,Radix Journal Volume III. Hero Complex: The Man of Tomorrow in Pulp Culture,Richard  Spencer,"Spencer, Richard",,,,0,0,Washington Summit Publishers,Paperback,,2015,2015,,2/28/2017,altright,altright (#157),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
10355,State of Emergency: The Third World Invasion and Conquest of America,Patrick J. Buchanan,"Buchanan, Patrick J.",,0312360037,9780312360030,0,3.69,Thomas Dunne Books,Hardcover,320,2006,2006,,2/28/2017,altright,altright (#156),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
252754,Where the Right Went Wrong: How Neoconservatives Subverted the Reagan Revolution and Hijacked the Bush Presidency,Patrick J. Buchanan,"Buchanan, Patrick J.",,0312341164,9780312341169,0,3.66,St. Martin's Griffin,Paperback,288,2005,2000,,2/28/2017,altright,altright (#155),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
298370,Jewish Supremacism,David  Duke,"Duke, David",,1892796058,9781892796059,0,4.08,Free Speech Pr,Hardcover,368,2007,2003,,2/28/2017,altright,altright (#154),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
401824,The Death of the West: How Dying Populations and Immigrant Invasions Imperil Our Country and Civilization,Patrick J. Buchanan,"Buchanan, Patrick J.",,0312302592,9780312302597,0,3.7,St. Martin's Griffin,Paperback,320,2002,2000,,2/28/2017,altright,altright (#153),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
765037,"A Republic, Not an Empire: Reclaiming America's Destiny",Patrick J. Buchanan,"Buchanan, Patrick J.",,0895261596,9780895261595,0,4.05,Regnery Publishing,Paperback,437,2002,1999,,2/28/2017,altright,altright (#152),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
923206,My Awakening: A Path to Racial Understanding,David  Duke,"Duke, David",Glayde Whitney,1892796007,9781892796004,0,3.89,Free Speech Books,Hardcover,717,1998,1998,,2/28/2017,altright,altright (#151),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1302186,Shockley on Eugenics and Race: The Application of Science to the Solution of Human Problems,William Shockley,"Shockley, William",,1878465031,9781878465030,0,4.33,Scott Townsend Pub,Paperback,,1992,1992,,2/28/2017,altright,altright (#150),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1955394,"Day of Reckoning: How Hubris, Ideology, and Greed Are Tearing America Apart",Patrick J. Buchanan,"Buchanan, Patrick J.",,0312376960,9780312376963,0,3.8,Thomas Dunne Books,Hardcover,304,2007,2007,,2/28/2017,altright,altright (#149),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
2258833,"Churchill, Hitler and ""The Unnecessary War"": How Britain Lost Its Empire and the West Lost the World",Patrick J. Buchanan,"Buchanan, Patrick J.",,030740515X,9780307405159,0,3.97,Crown,Hardcover,400,2008,2008,,2/28/2017,altright,altright (#148),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
11167391,Suicide of a Superpower: Will America Survive to 2025?,Patrick J. Buchanan,"Buchanan, Patrick J.",,0312579977,9780312579975,0,3.96,Thomas Dunne Books,Hardcover,496,2011,2011,,2/28/2017,altright,altright (#147),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
18212776,The Secret Behind Communism,David  Duke,"Duke, David",,,9781892796011,0,4.42,,Hardcover,285,2013,2013,,2/28/2017,altright,altright (#146),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,"Putnam, Robert D.",,0743203046,9780743203043,0,3.75,Simon & Schuster,Hardcover,544,2001,2000,,2/28/2017,altright,altright (#145),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
117039,Hitler's Second Book: The Unpublished Sequel to Mein Kampf,Adolf Hitler,"Hitler, Adolf",Gerhard L. Weinberg,1929631618,9781929631612,0,3.81,Enigma Books,Paperback,330,2006,1941,,2/28/2017,altright,altright (#144),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
182135,"A People That Shall Dwell Alone: Judaism as a Group Evolutionary Strategy, with Diaspora Peoples",Kevin B. MacDonald,"MacDonald, Kevin B.",,0595228380,9780595228386,0,3.77,iUniverse,Paperback,600,2002,1994,,2/28/2017,altright,altright (#143),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
389542,Separation and Its Discontents: Toward an Evolutionary Theory of Anti-Semitism,Kevin B. MacDonald,"MacDonald, Kevin B.",,1410792617,9781410792617,0,3.47,Authorhouse,Paperback,448,2003,1998,,2/28/2017,altright,altright (#142),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
413179,The Clash of Civilizations and the Remaking of World Order,Samuel P. Huntington,"Huntington, Samuel P.",,0684844419,9780684844411,0,3.69,Touchstone (Simon & Schuster),Paperback,368,1998,1996,,2/28/2017,altright,altright (#141),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1358743,"The Speeches Of Adolf Hitler, April 1922 August 1939: An English Translation Of Representative Passages",Adolf Hitler,"Hitler, Adolf",,0849011078,9780849011078,0,4.2,,,,,1942,,2/28/2017,altright,altright (#140),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
814482,Understanding Jewish Influence,Kevin B. MacDonald,"MacDonald, Kevin B.",Samuel Francis,1593680171,9781593680176,0,3.5,,,,,2012,,2/28/2017,altright,altright (#139),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
166434,Empire: How Britain Made the Modern World,Niall Ferguson,"Ferguson, Niall",,0141007540,9780141007540,0,3.85,Penguin Books,Paperback,422,2003,2002,,2/28/2017,altright,altright (#138),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
8907,The War of the World: Twentieth-Century Conflict and the Descent of the West,Niall Ferguson,"Ferguson, Niall",,1594201005,9781594201004,0,4.02,"Penguin Press HC, The",Hardcover,808,2006,2006,,2/28/2017,altright,altright (#137),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
